Trip Id,Destination,Country,Start_Date,End_Date,Duration_Days,Traveler_Name,Gender,Nationality,Amount_Spent,People_Visited,Annual_Visitors,Trip_Budget,Destination_Economy,Transportation,Travel_Type,Annual_Tourism_Income
1,New York,USA,24-11-2024,27-11-2024,3,Patrick Sanchez,Other,Burundi,4806,2,3844854,5191,High,Air,Business,25136471294
2,New York,USA,08-02-2025,01-03-2025,21,Patrick Gardner,Female,Namibia,820,1,1671945,1367,Low,Cruise,Business,25136471294
3,Paris,France,08-06-2024,28-06-2024,20,Brandon Hall,Male,Netherlands Antilles,9228,4,3798379,10247,High,Car,Solo,27439114547
4,Tokyo,Japan,06-08-2023,31-08-2023,25,Michelle Miles,Female,Italy,5874,3,2708513,6414,Medium,Air,Solo,25514217912
5,Rome,Italy,04-01-2024,10-01-2024,6,Donald Booth,Female,Senegal,5935,5,4537923,7687,Low,Bus,Business,26664516195
6,New York,USA,02-04-2025,17-04-2025,15,Jay Ramirez,Male,Cuba,9344,3,6167228,10626,Low,Air,Solo,25136471294
7,Dubai,UAE,01-03-2025,28-03-2025,27,Brandon Davis,Female,Tanzania,1607,2,1794522,2485,Medium,Bus,Family,26336822876
8,Tokyo,Japan,09-04-2024,23-04-2024,14,Renee Blair,Female,Martinique,3732,3,1297935,5079,High,Train,Business,25514217912
9,Dubai,UAE,21-10-2023,29-10-2023,8,Jamie Arnold,Female,Switzerland,6516,3,9444066,7065,High,Car,Solo,26336822876
10,Dubai,UAE,16-11-2024,15-12-2024,29,Shannon Ray,Male,Romania,5468,4,4591946,5703,Low,Cruise,Family,26336822876
11,Dubai,UAE,09-09-2023,02-10-2023,23,Darren Roberts,Female,Belgium,6782,4,2496987,7424,Low,Train,Business,26336822876
12,Cape Town,South Africa,11-05-2025,22-05-2025,11,Brian Ramirez,Other,Norfolk Island,9877,4,9890057,10794,Medium,Train,Group,28898545230
13,Cape Town,South Africa,24-04-2025,12-05-2025,18,Jacob Clark,Male,Ethiopia,1071,1,2664251,2456,Low,Bus,Business,28898545230
14,New York,USA,12-01-2025,27-01-2025,15,Maria Lynch,Female,Chile,7968,5,4318028,9201,Low,Air,Business,25136471294
15,London,UK,03-09-2024,30-09-2024,27,Carla Gray,Other,Uzbekistan,5873,1,5024115,6863,Low,Bus,Solo,27521149477
16,London,UK,25-11-2024,14-12-2024,19,Colleen Nguyen,Male,Seychelles,8617,1,5107072,10440,High,Cruise,Business,27521149477
17,Dubai,UAE,10-03-2025,17-03-2025,7,Rodney Trujillo,Female,Iran,2946,5,8997858,4927,Low,Cruise,Family,26336822876
18,Sydney,Australia,09-02-2024,12-02-2024,3,Thomas Bradley,Male,Saint Barthelemy,6247,3,4117343,6465,Low,Cruise,Solo,29339201955
19,New York,USA,17-03-2024,12-04-2024,26,Jonathan Wilkerson,Female,Norway,1433,5,2209911,1795,High,Bus,Business,25136471294
20,Tokyo,Japan,07-07-2024,18-07-2024,11,Charles Mcgee,Other,Martinique,7232,2,9147886,8878,High,Train,Family,25514217912
21,Rome,Italy,06-02-2024,01-03-2024,24,Jessica Silva,Other,Guyana,6418,4,8783481,7442,Low,Train,Group,26664516195
22,New York,USA,03-01-2024,16-01-2024,13,Brenda Snyder PhD,Male,Tokelau,9938,5,3960684,11243,Low,Air,Solo,25136471294
23,Paris,France,10-10-2023,20-10-2023,10,Christopher Becker,Male,Nauru,814,3,1288789,1966,Low,Car,Couple,27439114547
24,Dubai,UAE,04-09-2023,24-09-2023,20,Kyle Mcdonald,Male,El Salvador,9655,5,8030103,10252,Medium,Bus,Group,26336822876
25,New York,USA,18-09-2024,24-09-2024,6,Alexandra Le,Other,Pitcairn Islands,7362,3,7206470,8303,Medium,Air,Solo,25136471294
26,Paris,France,03-06-2025,18-06-2025,15,Debra Davidson,Other,Bouvet Island (Bouvetoya),5859,1,4271761,6351,Low,Cruise,Couple,27439114547
27,Tokyo,Japan,29-02-2024,16-03-2024,16,Jesse Mckay,Male,Turkey,4863,4,4291056,6753,Low,Bus,Business,25514217912
28,New York,USA,25-01-2025,29-01-2025,4,Jonathan White,Other,United States Minor Outlying Islands,9156,1,1664689,11153,Low,Train,Couple,25136471294
29,Sydney,Australia,07-10-2023,25-10-2023,18,Elizabeth Fowler,Male,Netherlands,6870,1,2862152,7746,Low,Bus,Family,29339201955
30,Sydney,Australia,18-12-2023,30-12-2023,12,Phillip Ryan,Female,Slovakia (Slovak Republic),9405,4,2697059,9893,Medium,Train,Solo,29339201955
31,Barcelona,Spain,02-07-2025,28-07-2025,26,April Nguyen,Other,Andorra,1298,3,1059074,1500,High,Bus,Business,25858011842
32,Cape Town,South Africa,11-10-2023,19-10-2023,8,Sherry Decker,Male,Gambia,8620,1,3217625,8860,High,Air,Group,28898545230
33,Rome,Italy,18-01-2024,24-01-2024,6,Shawn Arroyo,Other,Belize,4333,5,766754,5701,Low,Bus,Business,26664516195
34,Barcelona,Spain,04-02-2025,23-02-2025,19,Mr. Philip Cannon,Female,Brunei Darussalam,4572,2,5371130,5160,Medium,Bus,Group,25858011842
35,London,UK,10-12-2024,27-12-2024,17,Joshua Baker,Female,Tunisia,1488,1,7788755,2860,High,Air,Solo,27521149477
36,Cape Town,South Africa,30-10-2024,08-11-2024,9,Daniel Ryan,Other,Saint Lucia,4645,2,5955396,6549,Low,Train,Family,28898545230
37,London,UK,02-01-2025,10-01-2025,8,Eric Carney,Female,Pakistan,9200,3,8974152,9316,High,Cruise,Family,27521149477
38,New York,USA,02-05-2024,09-05-2024,7,Joseph Martinez,Female,Czech Republic,2191,1,9381552,2609,Medium,Car,Business,25136471294
39,Dubai,UAE,04-09-2023,29-09-2023,25,Kevin Hall,Female,Cyprus,3635,3,8579356,4735,Medium,Air,Solo,26336822876
40,Rome,Italy,22-07-2023,20-08-2023,29,Mark Perez,Female,United Kingdom,1022,1,5696150,2701,Low,Car,Group,26664516195
41,Sydney,Australia,10-08-2023,30-08-2023,20,Andrea Young,Other,Paraguay,7307,5,262230,7636,Low,Train,Business,29339201955
42,Paris,France,28-07-2024,26-08-2024,29,Carlos Walls,Female,Montenegro,9843,5,2584601,10823,Low,Air,Family,27439114547
43,Bangkok,Thailand,06-10-2024,03-11-2024,28,Richard Aguirre,Male,Comoros,6162,2,4286414,7627,Low,Car,Business,28843595717
44,Rome,Italy,28-09-2023,20-10-2023,22,Jeffrey Henderson,Other,Lao People's Democratic Republic,2832,2,2826327,4570,Low,Bus,Solo,26664516195
45,Tokyo,Japan,17-05-2025,12-06-2025,26,Megan Joyce,Female,Bolivia,7045,2,4576257,7471,High,Air,Couple,25514217912
46,Paris,France,02-09-2023,02-10-2023,30,Gerald Hensley,Female,Egypt,3944,2,7822606,4760,Medium,Train,Group,27439114547
47,Paris,France,12-12-2023,05-01-2024,24,Jerry Henderson,Male,Fiji,6828,3,4774183,8698,Low,Car,Family,27439114547
48,Cape Town,South Africa,10-07-2024,25-07-2024,15,Thomas Ramos,Other,Tokelau,9085,3,563060,9421,Medium,Train,Business,28898545230
49,London,UK,11-05-2025,15-05-2025,4,Amber Kidd,Male,Taiwan,7419,3,5362632,8412,High,Cruise,Solo,27521149477
50,Rome,Italy,28-07-2023,18-08-2023,21,Tammy Allison,Male,Chad,4473,1,7415831,4576,High,Cruise,Group,26664516195
51,Bangkok,Thailand,27-05-2024,12-06-2024,16,Mr. James Brown,Male,Hong Kong,5709,5,5366630,7167,Low,Car,Business,28843595717
52,London,UK,18-07-2023,11-08-2023,24,Mrs. Rachel Gibson,Female,Jamaica,5644,4,5060271,6879,Low,Train,Couple,27521149477
53,Rome,Italy,08-01-2025,01-02-2025,24,Whitney Peters,Other,Saint Barthelemy,3151,5,9648001,3867,Medium,Cruise,Solo,26664516195
54,London,UK,29-07-2024,10-08-2024,12,Edward Novak,Male,Morocco,7343,5,5506444,8395,Medium,Bus,Group,27521149477
55,Cape Town,South Africa,07-02-2025,25-02-2025,18,Nicole Brown,Other,Mozambique,3080,1,4861145,4235,High,Cruise,Family,28898545230
56,New York,USA,21-07-2024,19-08-2024,29,Sarah Moore,Male,Madagascar,5385,2,3440845,5786,Low,Air,Group,25136471294
57,Sydney,Australia,17-09-2023,09-10-2023,22,Andrea Jones,Male,Tokelau,7761,4,9758155,8259,High,Bus,Couple,29339201955
58,Rome,Italy,15-01-2024,25-01-2024,10,Todd Hudson,Male,Morocco,390,1,7232769,938,Low,Cruise,Couple,26664516195
59,Paris,France,20-10-2024,09-11-2024,20,Bradley Sandoval,Male,Monaco,2288,4,2337058,4029,Medium,Cruise,Business,27439114547
60,Barcelona,Spain,26-08-2024,08-09-2024,13,Dean Santiago,Female,Germany,8570,4,9291766,9583,Low,Bus,Couple,25858011842
61,London,UK,18-01-2024,14-02-2024,27,Carlos Brewer,Male,Kuwait,4843,5,8230188,6226,Low,Car,Couple,27521149477
62,New York,USA,18-03-2024,12-04-2024,25,Taylor Smith,Female,Niger,4141,3,5734586,4895,High,Air,Group,25136471294
63,Tokyo,Japan,26-09-2024,06-10-2024,10,Angel Lewis MD,Female,Venezuela,2803,2,1177581,3752,Medium,Car,Business,25514217912
64,Sydney,Australia,13-04-2024,29-04-2024,16,Sherry Wood,Male,Cayman Islands,3688,4,6634336,5641,High,Air,Business,29339201955
65,Rome,Italy,21-06-2024,09-07-2024,18,Michele Carr,Male,Sri Lanka,6063,3,6642890,7910,Medium,Cruise,Business,26664516195
66,Barcelona,Spain,05-12-2024,15-12-2024,10,Mary Spencer,Female,Venezuela,3895,3,7412114,4989,Low,Bus,Family,25858011842
67,Rome,Italy,13-12-2024,08-01-2025,26,Shawn Baker,Male,Tuvalu,7957,2,9061107,8112,Medium,Cruise,Business,26664516195
68,Paris,France,08-10-2023,13-10-2023,5,Brittney Campbell,Other,Cote d'Ivoire,7322,2,7846014,7794,Low,Car,Couple,27439114547
69,Bangkok,Thailand,24-01-2025,02-02-2025,9,Michael Farrell,Female,Macedonia,5655,3,6460682,6324,Medium,Car,Solo,28843595717
70,Sydney,Australia,30-07-2024,02-08-2024,3,Terry Williams,Other,Norfolk Island,9137,1,5971360,9696,High,Air,Solo,29339201955
71,Paris,France,10-06-2024,20-06-2024,10,Amanda Cook,Male,Bulgaria,633,5,2656551,1221,Low,Bus,Solo,27439114547
72,Barcelona,Spain,22-11-2024,01-12-2024,9,Candice Ramos,Female,Romania,4498,3,2915034,5838,High,Air,Group,25858011842
73,London,UK,13-06-2024,19-06-2024,6,Ashley Landry,Other,Portugal,720,3,9760266,2207,Medium,Bus,Group,27521149477
74,New York,USA,18-06-2025,09-07-2025,21,Andrew Wood,Other,Mexico,4278,1,5159717,6119,High,Cruise,Solo,25136471294
75,Barcelona,Spain,09-11-2023,07-12-2023,28,Andrew Diaz,Male,Venezuela,5988,5,7286990,7442,Medium,Air,Business,25858011842
76,Bangkok,Thailand,26-03-2025,29-03-2025,3,Amanda Howard,Female,Pitcairn Islands,8331,1,7373315,9172,High,Bus,Group,28843595717
77,Rome,Italy,26-01-2024,03-02-2024,8,Heather Castro,Other,Tunisia,8848,3,9129043,10534,Medium,Bus,Couple,26664516195
78,Barcelona,Spain,27-05-2024,07-06-2024,11,Nicole Frost,Female,Dominica,4322,1,4779639,6227,Medium,Train,Couple,25858011842
79,Barcelona,Spain,18-05-2025,09-06-2025,22,Robert Thompson,Other,Isle of Man,6509,3,581506,7621,Medium,Train,Couple,25858011842
80,Dubai,UAE,05-08-2023,19-08-2023,14,Tim Patton,Female,Isle of Man,5876,3,4735017,7114,Low,Cruise,Group,26336822876
81,New York,USA,31-03-2025,10-04-2025,10,Nancy Wright,Other,Cayman Islands,6958,4,9414311,8610,Low,Bus,Couple,25136471294
82,Sydney,Australia,19-03-2025,16-04-2025,28,Janet Williams,Male,Latvia,1824,3,3817770,2752,High,Train,Family,29339201955
83,Barcelona,Spain,05-01-2024,19-01-2024,14,Thomas Bailey,Female,Swaziland,9368,5,5867292,10339,High,Cruise,Family,25858011842
84,Bangkok,Thailand,25-03-2025,19-04-2025,25,Courtney Keller,Female,Iran,4738,3,4317853,5310,Low,Train,Family,28843595717
85,New York,USA,27-03-2024,22-04-2024,26,Benjamin Ayala,Other,Guernsey,3333,2,3730331,4945,Medium,Car,Business,25136471294
86,Cape Town,South Africa,26-11-2024,18-12-2024,22,Meghan Anthony,Female,Greenland,1947,2,5070190,2512,Medium,Train,Family,28898545230
87,Paris,France,15-07-2025,09-08-2025,25,Shawn Green,Other,Morocco,2373,3,863626,2584,High,Car,Group,27439114547
88,Sydney,Australia,08-02-2024,14-02-2024,6,Kyle Reed,Male,Solomon Islands,9705,3,7975173,10785,Medium,Car,Group,29339201955
89,Paris,France,16-03-2024,27-03-2024,11,William Wilson,Female,United Arab Emirates,2169,1,6822755,3276,Low,Cruise,Solo,27439114547
90,Tokyo,Japan,06-10-2024,13-10-2024,7,Andrew Graham,Other,Maldives,5278,1,4263953,5620,High,Bus,Business,25514217912
91,Barcelona,Spain,04-07-2025,01-08-2025,28,Melissa Bentley,Other,Saint Pierre and Miquelon,3997,5,6481684,5019,Medium,Car,Business,25858011842
92,Rome,Italy,18-12-2024,30-12-2024,12,Jeffrey Rush,Other,Uruguay,1286,5,1764863,2948,Low,Train,Family,26664516195
93,New York,USA,29-03-2024,06-04-2024,8,Mary Martinez,Male,United Arab Emirates,3147,5,1359379,3567,Low,Bus,Couple,25136471294
94,Barcelona,Spain,06-03-2024,24-03-2024,18,Mary Nguyen,Female,Qatar,834,2,4933597,2381,Medium,Bus,Solo,25858011842
95,Dubai,UAE,02-03-2024,13-03-2024,11,Cheryl Ortega,Other,Hong Kong,9963,2,7232648,10298,High,Train,Group,26336822876
96,London,UK,24-12-2024,22-01-2025,29,Carrie Carroll,Male,Iraq,1469,1,2883722,3192,Medium,Cruise,Business,27521149477
97,London,UK,14-09-2024,01-10-2024,17,Elizabeth Clark,Male,Solomon Islands,7979,3,6852972,8636,High,Cruise,Couple,27521149477
98,Sydney,Australia,09-10-2024,14-10-2024,5,Erica Ramos,Other,Peru,953,4,5507658,2289,Medium,Air,Solo,29339201955
99,Dubai,UAE,29-12-2023,22-01-2024,24,Rebecca Moyer,Other,Saint Pierre and Miquelon,9919,1,4621644,11199,Low,Train,Couple,26336822876
100,Cape Town,South Africa,25-11-2023,18-12-2023,23,Diane Beck,Female,Nicaragua,4857,2,9920201,5849,High,Bus,Solo,28898545230
101,Sydney,Australia,02-04-2024,16-04-2024,14,Trevor Young,Female,Georgia,5760,3,1854894,7616,Low,Car,Couple,29339201955
102,Sydney,Australia,07-01-2024,19-01-2024,12,Brittany Williams,Other,Lebanon,6861,5,715675,7892,Low,Car,Family,29339201955
103,Bangkok,Thailand,02-11-2024,08-11-2024,6,Angel Perry,Female,Niue,8731,1,9203209,9777,Medium,Air,Group,28843595717
104,Cape Town,South Africa,06-10-2024,20-10-2024,14,Michael Snyder,Other,Ecuador,8467,4,965901,8983,Medium,Cruise,Group,28898545230
105,London,UK,08-11-2023,25-11-2023,17,Abigail Potter,Other,Sierra Leone,8241,1,584348,9631,High,Train,Group,27521149477
106,London,UK,03-06-2025,23-06-2025,20,Jeffery Thompson,Male,Qatar,9348,4,1663790,9908,Low,Bus,Solo,27521149477
107,Tokyo,Japan,22-08-2024,09-09-2024,18,Justin Lowery,Other,British Virgin Islands,5081,5,4687308,6031,Medium,Bus,Group,25514217912
108,Sydney,Australia,05-07-2024,25-07-2024,20,John Schmidt,Male,Moldova,6584,2,8626867,8212,Low,Air,Family,29339201955
109,Rome,Italy,21-10-2024,03-11-2024,13,Pedro Ramos,Other,Suriname,4677,1,4845250,6263,Medium,Cruise,Business,26664516195
110,Sydney,Australia,25-01-2025,24-02-2025,30,Jessica Meadows,Male,Kiribati,7616,5,8225900,8422,Medium,Cruise,Business,29339201955
111,Rome,Italy,12-06-2025,29-06-2025,17,Scott Cole,Female,Sao Tome and Principe,3390,2,9693172,4274,Low,Bus,Solo,26664516195
112,Bangkok,Thailand,25-01-2024,20-02-2024,26,Destiny Strickland,Female,Libyan Arab Jamahiriya,6546,4,2651903,7660,Low,Train,Business,28843595717
113,Barcelona,Spain,14-11-2024,27-11-2024,13,Jeremiah Reeves,Male,Dominica,7513,1,8923994,9477,Medium,Air,Group,25858011842
114,Rome,Italy,13-02-2024,14-03-2024,30,Steven Miller,Other,Canada,2829,1,7976745,4529,Medium,Car,Business,26664516195
115,Rome,Italy,12-01-2024,04-02-2024,23,Christian Lewis,Male,Israel,5683,5,6475499,6431,High,Bus,Business,26664516195
116,Paris,France,28-05-2024,19-06-2024,22,John Brown,Male,Syrian Arab Republic,4146,3,3916586,5775,Low,Bus,Solo,27439114547
117,New York,USA,07-06-2024,24-06-2024,17,Randy Shah,Male,Angola,5206,1,871600,5970,Low,Car,Family,25136471294
118,Bangkok,Thailand,12-05-2025,28-05-2025,16,Laura Woods,Male,Western Sahara,4300,5,7013081,5559,High,Train,Group,28843595717
119,Tokyo,Japan,15-04-2024,20-04-2024,5,James Snow,Other,Syrian Arab Republic,6567,5,4140453,7686,High,Train,Group,25514217912
120,Sydney,Australia,06-06-2024,29-06-2024,23,Morgan Marsh,Female,Ukraine,7829,3,257662,9769,Medium,Car,Business,29339201955
121,Tokyo,Japan,04-01-2024,09-01-2024,5,Don Tucker MD,Female,Paraguay,5961,5,5118975,7369,Medium,Car,Couple,25514217912
122,London,UK,25-12-2024,03-01-2025,9,Misty Pittman,Female,Uruguay,8216,1,4079651,9097,High,Car,Business,27521149477
123,London,UK,24-10-2023,18-11-2023,25,Ms. Susan Vargas,Female,Panama,659,4,4705016,775,High,Air,Business,27521149477
124,Sydney,Australia,07-08-2023,05-09-2023,29,Jeffrey Camacho,Female,Cocos (Keeling) Islands,4070,5,6010964,4618,High,Train,Business,29339201955
125,London,UK,25-08-2023,18-09-2023,24,Garrett Gibson,Other,Guadeloupe,2540,1,761401,3272,Medium,Air,Business,27521149477
126,Bangkok,Thailand,27-02-2025,25-03-2025,26,Diana Bean,Male,Italy,1776,3,5581437,3406,Medium,Train,Group,28843595717
127,Tokyo,Japan,28-01-2024,25-02-2024,28,Julie Curry,Other,Austria,6294,5,8518719,8264,Medium,Train,Family,25514217912
128,Sydney,Australia,13-04-2024,11-05-2024,28,Barry Bernard,Female,Armenia,5849,1,7957296,6103,Low,Train,Couple,29339201955
129,Cape Town,South Africa,21-02-2025,07-03-2025,14,David Combs,Male,Niger,6764,1,4536878,7962,Low,Bus,Family,28898545230
130,London,UK,12-11-2023,03-12-2023,21,John Wilson,Female,Yemen,6386,1,4022880,7451,Low,Cruise,Business,27521149477
